"Station","year","TP","epar","secchi","chla","TPn","eparn","secchin","chlan"
"C",1989,0.0148589743076923,0.5505,3.28846153846154,7.01833333333333,13,12,13,12
"C",1990,0.0125897436153846,0.541285714285714,2.93035714285714,7.08428571428571,13,14,14,14
"C",1991,0.0110576922307692,0.468153846153846,3.15384615384615,5.80307692307692,13,13,13,13
"C",1992,0.0142051283076923,0.470857142857143,3.05357142857143,6.43214285714286,13,14,14,14
"C",1993,0.0124102563846154,0.493166666666667,3.36538461538462,6.83846153846154,13,12,13,13
"C",1994,0.00969230769230769,0.423615384615385,4.01923076923077,5.50307692307692,13,13,13,13
"C",1995,0.00838461538461538,0.388307692307692,3.48076923076923,4.72153846153846,13,13,13,13
"C",1996,0.0102142857857143,0.395076923076923,4.86538461538461,3.21076923076923,14,13,13,13
"C",1997,0.00848717938461538,0.355846153846154,6.10769230769231,2.92769230769231,13,13,13,13
"C",1998,0.0104615384615385,0.383846153846154,5.78846153846154,3.99538461538462,13,13,13,13
"C",1999,0.00938461538461539,0.340692307692308,5.48076923076923,2.77,13,13,13,13
"C",2000,0.0124166666666667,0.383153846153846,5.30769230769231,3.73230769230769,12,13,13,13
"C",2001,0.00976923076923077,0.335,6,3.33769230769231,13,13,13,13
"C",2002,0.0104615384615385,0.405477538461538,5.98076923076923,3.17160361015385,13,13,13,13
"C",2003,0.00945833333333333,0.316473230769231,6,3.11551731253846,12,13,13,13
"C",2004,0.0115,0.355922076923077,5.94230769230769,3.23889625961538,12,13,13,13
"C",2005,0.0095,0.364037461538462,5.34615384615385,3.26942307692308,13,13,13,13
"C",2006,0.0100384615384615,0.487923076923077,4.51923076923077,4.42769230769231,13,13,13,13
"C",2007,0.0142272727272727,0.346,6.5,3.35272727272727,11,10,11,11
"C",2008,0.00923076923076923,0.382076923076923,5.09615384615385,3.03076923076923,13,13,13,13
"C",2009,0.00761538461538462,0.349908618538462,4.93846153846154,3.52153846153846,13,13,13,13
"C",2010,NA,0.3061873575,6.875,3.06,0,2,2,2
"C",2011,NA,0.369675551,5,6.09,0,1,1,1
"C",2012,NA,NA,3,NA,0,0,1,0
"C",2013,NA,NA,4,2.09,0,0,8,2
"C",2014,0.0270357142857143,0.437440007925034,4.21428571428571,5.02866168022156,7,5,7,5
"HB",1972,0.0581190476190476,1.415,1.39047619047619,NA,21,20,21,0
"HB",1973,0.05375,1.36083333333333,1.57916666666667,NA,24,24,24,0
"HB",1974,0.0548913043478261,1.43347826086957,1.34347826086957,NA,23,23,23,0
"HB",1975,0.0576363636363636,1.44318181818182,1.09090909090909,NA,22,22,22,0
"HB",1976,0.0447692307692308,1.58652173913043,1.30384615384615,NA,26,23,26,0
"HB",1977,0.0449375,1.35166666666667,1.575,28.0954545454545,24,24,24,22
"HB",1978,0.0387826086956522,1.20478260869565,1.5304347826087,23.7913043478261,23,23,23,23
"HB",1979,0.0340303030454545,1.37238095238095,1.40909090909091,25.8857142857143,22,21,22,21
"HB",1980,0.0363695652173913,1.39578947368421,1.16521739130435,27.6727272727273,23,19,23,22
"HB",1981,0.0550454545454545,1.32619047619048,1.46136363636364,24.7227272727273,22,21,22,22
"HB",1982,0.0418809523809524,1.284,1.44761904761905,23.315,21,20,21,20
"HB",1983,0.0451666666666667,1.274,1.45,23.1,12,10,12,11
"HB",1984,0.0429090909090909,1.46818181818182,1.19090909090909,34.4363636363636,11,11,11,11
"HB",1985,0.0400909090909091,1.273,1.31818181818182,28.3454545454545,11,10,11,11
"HB",1986,0.03385,1.123,1.67,24.9444444444444,10,10,10,9
"HB",1987,0.0284166666666667,1.133,1.58333333333333,24.9666666666667,12,10,12,12
"HB",1988,0.0346923076923077,1.20538461538462,1.62307692307692,21.7469230769231,13,13,13,13
"HB",1989,0.0393461538461538,1.28992307692308,1.47692307692308,29.2330769230769,13,13,13,13
"HB",1990,0.0297692307692308,1.05278571428571,1.59285714285714,21.2464285714286,13,14,14,14
"HB",1991,0.03,1.07169230769231,1.61923076923077,18.7938461538462,13,13,13,13
"HB",1992,0.0299615384615385,1.17571428571429,1.46428571428571,21.7871428571429,13,14,14,14
"HB",1993,0.0338461538461538,1.06966666666667,1.7,20.3346153846154,13,12,13,13
"HB",1994,0.0264615384615385,1.10769230769231,1.55769230769231,22.1676923076923,13,13,13,13
"HB",1995,0.0221538461538462,0.807,1.88461538461538,10.5261538461538,13,13,13,13
"HB",1996,0.024,0.829307692307692,2.45384615384615,8.53692307692308,13,13,13,13
"HB",1997,0.0228461538461538,0.711769230769231,2.96923076923077,7.81230769230769,13,13,13,13
"HB",1998,0.0312307692307692,0.822538461538462,2.42307692307692,12.0423076923077,13,13,13,13
"HB",1999,0.0333846153846154,0.837076923076923,2.05769230769231,7.76461538461538,13,13,13,13
"HB",2000,0.0325,0.755615384615385,2.38461538461538,9.34076923076923,12,13,13,13
"HB",2001,0.0263076923076923,0.66,2.60384615384615,9.75692307692308,13,13,13,13
"HB",2002,0.0278461538461538,0.724888615384615,2.34615384615385,10.0508835636923,13,13,13,13
"HB",2003,0.0308333333333333,0.765667,2,16.5835890439231,12,13,13,13
"HB",2004,0.0311666666666667,0.756871230769231,2.21153846153846,9.21828733076923,12,13,13,13
"HB",2005,0.0331538461538462,0.953979153846154,2.11538461538462,15.1348076923077,13,13,13,13
"HB",2006,0.0300769230769231,1.00376923076923,1.86538461538462,13.6138461538462,13,13,13,13
"HB",2007,0.0283076923076923,0.831461538461538,2.18461538461538,10.7430769230769,13,13,13,13
"HB",2008,0.0272307692307692,0.771846153846154,1.98076923076923,7.76307692307692,13,13,13,13
"HB",2009,0.025,0.816476397076923,2.15384615384615,10.8838461538462,13,13,13,13
"HB",2010,0.027,0.820156837076923,2.23076923076923,11.8715384615385,12,13,13,13
"HB",2011,0.0304615384615385,0.770529004615385,2.30769230769231,13.9184615384615,13,13,13,13
"HB",2012,0.0299230769230769,0.998200906857143,1.875,16.4842857142857,13,14,14,14
"HB",2013,0.0277692307692308,0.933555269307692,1.88461538461538,13.1392307692308,13,13,13,13
